Leystone Fragment|266~782
Clan Banner|771~862
Sigil of Health|732~740~750~771~861~862~1314~1318~1842~1843
Sigil of Energy|730~731~740~751~771~861~862~1313~1317~1842~1843
Book of Alteration|740~771~861~862~881~944~991~1012~1047~1119~1156~1231~1309~1457~1482~1586~1589~1749~1848~1868~1873~1885~1935~1978~2016~2029~2035~2058~2069~2073
Backpack Expansion|733~740~748~771~861~862~1312~1316~1842~1843
Bag of Gold|742
Book of Rebirth|740~771~772~861~862~863~881~944~991~1012~1047~1119~1156~1231~1309~1457~1482~1586~1589~1749~1848~1868~1873~1885~1935~1978~2016~2029~2035~2058~2069~2073
Extra Character Slot|771~862~1843
Health Potion|203~204~228~229~266~267
Energy Potion|228~229~266~267
Ancient Resurrection Idol|769
Shrink Potion|304
Super Shrink Potion|306
Growth Potion|304
Super Growth Potion|306
Invisibility Potion|304~771~862
Defence Potion|304
Armour Potion|304
Maximum Health Potion|304
Maximum Energy Potion|304
Super Defence Potion|306~1722
Super Armour Potion|306
Super Maximum Health Potion|306
Super Maximum Energy Potion|306~1722
Attack Potion|304
Super Attack Potion|306~1722
Haste Potion|304
Super Haste Potion|306~1722
Travelling Potion|304
Super Travelling Potion|306
Knowledge Potion|304
Regeneration Potion|203~204~228~304
Super Regeneration Potion|306
Energiser Potion|228~304
Super Energiser Potion|306
Combination Potion|304
Super Combination Potion|306~1722
Super Elixir of Defence|1723
Super Elixir of Maximum Energy|1723
Super Elixir of Attack|1282~1293~1294~1297~1300~1497~1498
Super Elixir of Haste|1282~1293~1294~1297~1300~1723
Super Elixir of Travelling|1723
Super Combination Elixir|746~771~772~862~863~1282~1293~1294~1297~1300
Super Elixir of Armour|1723
Super Elixir of Regeneration|1282~1293~1294~1297~1300~1497~1498~1513~1723~1773
Super Elixir of Energisation|1282~1293~1294~1297~1300
Quiver of Farsight|223
Large Quiver|223
Super Elixir of Wisdom|740~752~771~861~862~1282~1293~1294~1297~1300~1497~1498~1513~1773
Super Knowledge Potion|306~1722
Super Elixir of Knowledge|740~747~771~772~842~861~862~863~1282~1293~1294~1297~1300~1497~1498~1513~1773
Bank Expansion|734~740~749~771~861~862~1842~1843
Book of Alteration|1842~1843
Book of Rebirth|1842~1843~1844
Drummond's Growth Potion|671
Drummond's Invisibility Potion|671
Drummond's Defence Potion|671
Drummond's Armour Potion|671
Drummond's Attack Potion|671
Drummond's Haste Potion|671
Drummond's Travelling Potion|671
Drummond's Knowledge Potion|671
Drummond's Regeneration Potion|671
Drummond's Energiser Potion|671
Drummond's Health Potion|671
Drummond's Energy Potion|671
Drummond's Minor Energy Potion|671
Drummond's Minor Health Potion|671
