1~Alwyn the Druid~0~0~Friendly~0~200~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5~0~1~0~0~0~~0
2~Simon the Druid~0~0~Friendly~0~100~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
3~Stratton the Druid~0~0~Friendly~0~100~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
4~Farmer McCraig~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
7~Farmer McCraig~0~0~Friendly~0~5~0~1~1~1~2~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
8~Private Dougal~0~0~Friendly~0~100~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
9~Private Duncan~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
10~Captain Ross OLD~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
11~Lord MacLir~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
12~Ranger McKay~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
13~Broon the Mage~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
14~[Scholar Trainer] Aldo the Astute~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
15~Faolan MacLir~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
16~[Blunt Trainer] Harry Hammers~0~0~Friendly~0~100~0~0~0~0~0~0.3~1,36~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
17~[Axe Trainer] Ragnar the Axemaster~0~0~Friendly~0~100~0~0~0~0~0~0.3~1,36~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
18~Leland the Druid~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
19~Emilia the Mage~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
20~Sergeant Grumpshot~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
21~Hugh the Novice~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
22~Crazy Jock~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
23~Alan MacDougall~0~0~Friendly~0~100~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
24~[Item Trader] Fergus the Blacksmith~0~0~Friendly~0~100~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune;8,Immune~0~1~0~0~0~~0
25~Katherine Dunmore~0~0~Friendly~0~100~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
26~Gregor the Innkeeper~0~0~Friendly~0~100~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
27~Finnigan the Ranger~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
28~Molly the Rogue~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
29~Court Physician Emrys~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
30~[Skill Merchant] Glamora the Warrior~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
31~[Critical Strike Trainer] Sandow the Strong~0~0~Friendly~0~100~0~0~0~0~0~0.3~1,36~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
32~Altus the Warrior~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
33~Megan the Ranger~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
34~Godfrey the Warrior~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
35~Bronwen the Druid~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
36~Icemage Emilia~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
37~Orlak the Mage~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
38~[Skill Merchant] Knavelaw the Rogue~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
39~Eustace the Scout~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
40~Boris Shadowhand~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
41~Gildan the Healer~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
42~[Skill Merchant]  Louarn the Ranger~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
43~Cori the Rogue~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
44~[Spell Book Merchant] Aspen the Druid~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
45~Farmer Moffatt~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
46~Nemain~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
47~Dolan~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
48~Galway the Sage~0~0~Friendly~0~200~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
49~Fiona~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
50~Corporal Gudgeon~0~30~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
51~[Armour Trader] Nevin the Armourer~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
52~[Item Trader] Roarke the Blacksmith~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
53~[Armour Trader] Vevila the Armourer~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
54~[Item Trader] Jaryn the Smuggler~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
55~Darra the Innkeeper~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
56~Gwen the Gossip~0~0~Friendly~0~100~0~0~0~0~1000~1.2~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
57~Brady the Guard~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
58~Jill the Herder~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5;7,Immune~0~1~0~0~0~~0
